Time Period,Average Temperature
Jan 2000,79.62
Feb 2000,81.67
Mar 2000,84.72
Apr 2000,84.54
May 2000,88.91
Jun 2000,86.63
Jul 2000,82.97
Aug 2000,84.55
Sep 2000,84.32
Oct 2000,80.88
Nov 2000,79.67
Dec 2000,77
Jan 2001,78.03
Feb 2001,79.43
Mar 2001,82.4
Apr 2001,84.71
May 2001,89.08
Jun 2001,86.82
Jul 2001,86.02
Aug 2001,85.25
Sep 2001,84.21
Oct 2001,81.91
Nov 2001,78.07
Dec 2001,76.41
Jan 2002,77.33
Feb 2002,79.19
Mar 2002,83.49
Apr 2002,85.4
May 2002,90.58
Jun 2002,87.47
Jul 2002,88.69
Aug 2002,85.91
Sep 2002,85.13
Oct 2002,79.75
Nov 2002,78.35
Dec 2002,76.98
Jan 2003,78.13
Feb 2003,80.15
Mar 2003,82.39
Apr 2003,86.8
May 2003,90.49
Jun 2003,90.39
Jul 2003,85.12
Aug 2003,84.93
Sep 2003,84.15
Oct 2003,79.43
Nov 2003,75.84
Dec 2003,76.74
Jan 2004,76
Feb 2004,77.13
Mar 2004,82.16
Apr 2004,86.54
May 2004,84.34
Jun 2004,87.15
Jul 2004,85.89
Aug 2004,87.45
Sep 2004,83.44
Oct 2004,81.36
Nov 2004,79.69
Dec 2004,77.75
Jan 2005,78.02
Feb 2005,79.75
Mar 2005,83.81
Apr 2005,83.63
May 2005,87.09
Jun 2005,89.32
Jul 2005,86.81
Aug 2005,86.02
Sep 2005,84.55
Oct 2005,79.04
Nov 2005,79.19
Dec 2005,79.19
Jan 2006,76.48
Feb 2006,78.9
Mar 2006,83.46
Apr 2006,87.15
May 2006,88.46
Jun 2006,87.7
Jul 2006,87.48
Aug 2006,85.86
Sep 2006,84.43
Oct 2006,81.67
Nov 2006,77.5
Dec 2006,77.57
Jan 2007,76.6
Feb 2007,78.58
Mar 2007,82.05
Apr 2007,85.31
May 2007,89.78
Jun 2007,85.55
Jul 2007,84.17
Aug 2007,82.91
Sep 2007,83.32
Oct 2007,81.37
Nov 2007,78.29
Dec 2007,76.75
Jan 2008,76.5
Feb 2008,79.13
Mar 2008,80.22
Apr 2008,85.02
May 2008,89.64
Jun 2008,87.63
Jul 2008,86.07
Aug 2008,84.2
Sep 2008,84.12
Oct 2008,80.48
Nov 2008,77.67
Dec 2008,77.28
Jan 2009,77.5
Feb 2009,80.25
Mar 2009,83.43
Apr 2009,87.55
May 2009,89.84
Jun 2009,90.48
Jul 2009,89.61
Aug 2009,85.58
Sep 2009,86.98
Oct 2009,85.85
Nov 2009,79.72
Dec 2009,77.41
Jan 2010,77.32
Feb 2010,79.36
Mar 2010,84.19
Apr 2010,88.28
May 2010,88.97
Jun 2010,86.76
Jul 2010,84.75
Aug 2010,84.33
Sep 2010,84.09
Oct 2010,83.47
Nov 2010,79.96
Dec 2010,76.62
Jan 2011,76.86
Feb 2011,79.96
Mar 2011,81.96
Apr 2011,85.26
May 2011,89.32
Jun 2011,89.74
Jul 2011,86.54
Aug 2011,85.23
Sep 2011,84.95
Oct 2011,82.69
Nov 2011,79.14
Dec 2011,77.38
Jan 2012,76.88
Feb 2012,78.98
Mar 2012,84.26
Apr 2012,87.16
May 2012,91.62
Jun 2012,90.54
Jul 2012,87.06
Aug 2012,85.4
Sep 2012,84.78
Oct 2012,82.38
Nov 2012,80.17
Dec 2012,78.64
Jan 2013,77.3
Feb 2013,79.08
Mar 2013,82.73
Apr 2013,87.14
May 2013,89.29
Jun 2013,87.91
Jul 2013,84.77
Aug 2013,84.45
Sep 2013,84.3
Oct 2013,83.06
Nov 2013,79.51
Dec 2013,76.73
Jan 2014,77.2
Feb 2014,78.1
Mar 2014,82.52
Apr 2014,86.74
May 2014,88.98
Jun 2014,90.1
Jul 2014,87.82
Aug 2014,85.66
Sep 2014,84.12
Oct 2014,82.8
Nov 2014,79.65
Dec 2014,78.21
Jan 2015,77.28
Feb 2015,79.19
Mar 2015,83.91
Apr 2015,86.44
May 2015,89.16
Jun 2015,88.97
Jul 2015,88.67
Aug 2015,86.55
Sep 2015,86.69
Oct 2015,83.73
Nov 2015,80.12
Dec 2015,79.73
Jan 2016,79.18
Feb 2016,81.41
Mar 2016,85.26
Apr 2016,88.74
May 2016,89.62
Jun 2016,87.19
Jul 2016,86.78
Aug 2016,87.62
Sep 2016,85.24
Oct 2016,84.8
Nov 2016,80.24
Dec 2016,77.55
Jan 2017,78.06
Feb 2017,79.61
Mar 2017,85.36
Apr 2017,90.36
May 2017,92.86
Jun 2017,91.19
Jul 2017,88.67
Aug 2017,86.2
Sep 2017,85.96
Oct 2017,84.64
Nov 2017,81.21
Dec 2017,79.28
Jan 2018,78.31
Feb 2018,80.36
Mar 2018,84.61
Apr 2018,89.24
May 2018,91.58
Jun 2018,91.39
Jul 2018,89.8
Aug 2018,87.67
Sep 2018,86.41
Oct 2018,83.82
Nov 2018,81.91
Dec 2018,79.75
Jan 2019,77.7
Feb 2019,82.45
Mar 2019,86.16
Apr 2019,89.96
May 2019,93.86
Jun 2019,94.03
Jul 2019,89.86
Aug 2019,88.87
Sep 2019,85.61
Oct 2019,83.55
Nov 2019,82.94
Dec 2019,79.95
Jan 2020,79.81
Feb 2020,81.17
Mar 2020,56.77
Apr 2020,87.19
May 2020,91.4
Jun 2020,90.92
Jul 2020,86.16
Aug 2020,86.18
Sep 2020,84.3
Oct 2020,85.11